Questionnaire Number,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75
1,4,5,5,2,3,3,5,5,5,5,2,4,5,5,4,3
2,4,3,4,1,4,4,1,4,3,1,2,5,3,3,4,2
3,4,3,4,5,4,4,1,4,3,1,5,1,3,3,3,3
4,4,4,4,5,5,4,2,4,4,2,4,2,5,5,3,1
5,4,4,2,1,5,4,4,2,4,4,3,1,3,3,3,5
6,4,3,4,1,2,4,4,4,3,4,3,3,5,5,3,5
7,4,3,4,2,2,4,4,4,3,4,2,4,4,4,4,5
8,4,3,1,5,4,3,4,1,3,4,1,4,4,4,5,4
9,4,4,2,3,4,2,3,2,4,3,3,4,2,2,4,4
10,4,4,2,3,3,3,5,2,4,5,3,4,2,2,4,4
11,5,4,2,5,3,1,3,2,4,3,3,4,2,2,3,4
12,5,4,5,3,3,5,5,5,4,5,4,4,2,2,3,2
13,1,4,5,5,3,5,5,5,4,5,4,3,2,2,1,1
14,1,4,5,4,4,5,4,5,4,4,4,5,2,2,3,1
15,2,4,5,4,5,4,4,5,4,4,4,3,2,2,5,1
16,4,4,4,2,4,4,4,4,4,4,4,5,2,2,3,1
17,4,4,4,2,4,4,3,4,4,3,4,4,2,2,5,4
18,4,4,3,2,3,4,5,5,4,5,4,4,2,2,3,4
19,4,4,3,2,3,2,4,3,4,4,4,4,3,3,2,2
20,3,4,3,2,1,1,3,3,4,4,4,3,3,3,4,1
21,5,4,2,2,3,1,3,4,4,3,4,3,3,3,4,1
22,3,4,3,2,5,1,5,5,4,5,4,1,5,5,4,3
23,5,4,5,2,3,1,5,4,4,3,4,3,3,3,4,2
24,5,4,5,2,5,4,4,5,4,5,4,2,3,3,3,3
25,4,4,1,2,3,4,4,5,4,5,4,2,5,5,3,1
26,4,5,4,3,2,2,3,4,4,3,4,4,3,3,3,5
27,4,5,4,3,4,1,3,4,4,3,4,5,5,5,3,5
28,3,5,3,3,4,1,4,4,4,4,4,3,4,4,4,5
29,5,3,4,5,4,3,4,4,4,4,3,4,4,4,5,4
30,3,3,4,3,4,2,4,4,5,4,3,4,4,4,5,3
31,5,4,3,3,3,5,4,3,5,4,3,3,2,2,4,3
32,3,4,2,5,3,3,4,2,3,4,2,2,1,1,2,2
33,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
34,5,3,1,5,3,5,3,1,5,3,1,1,3,3,3,3
35,3,3,5,4,4,3,3,5,3,3,5,5,5,5,3,1
36,5,3,5,4,5,5,3,5,5,3,5,5,3,3,3,5
37,4,4,5,4,5,4,4,5,4,4,5,5,5,5,3,5
38,4,5,4,2,4,4,5,4,4,5,4,4,4,4,4,5
39,2,4,4,1,2,2,4,4,2,4,4,4,4,2,5,4
40,2,4,4,4,4,2,4,4,2,4,4,4,4,3,5,3
41,2,3,4,3,3,2,3,4,2,3,4,4,5,4,4,3
42,2,3,2,5,3,2,3,2,2,3,2,3,5,5,2,2
43,2,1,1,3,3,2,1,1,2,1,1,4,1,5,4,4
44,2,3,1,5,3,2,3,1,2,3,1,3,3,4,4,4
45,2,5,1,4,4,2,5,1,2,5,1,4,5,4,2,3
46,2,3,1,4,5,2,3,1,2,3,1,4,4,4,3,4
47,2,5,4,4,5,2,5,4,2,5,4,2,3,4,3,3
48,2,3,4,2,4,2,3,4,2,3,4,4,5,4,3,4
49,3,2,2,1,2,3,2,2,3,2,2,4,5,5,3,4
50,3,4,1,4,4,3,4,1,3,4,1,2,1,5,3,4
51,3,4,1,3,4,3,4,1,3,4,1,2,3,4,3,4
52,5,4,3,3,2,5,4,3,5,4,3,3,3,4,3,3
53,3,4,2,3,3,3,4,2,3,4,2,3,3,5,3,3
54,3,3,3,5,3,3,3,3,3,3,3,5,5,5,3,1
55,5,3,1,3,3,5,3,1,5,3,1,3,5,4,3,5
56,3,3,5,5,3,3,3,5,3,3,5,5,4,3,3,5
57,5,3,5,5,3,5,3,5,5,3,5,3,3,4,4,5
58,4,4,5,5,3,4,4,5,4,4,5,2,4,3,5,4
59,4,5,4,3,3,4,5,4,4,5,4,4,3,4,5,3
60,4,5,3,3,3,4,5,3,4,5,3,4,4,4,4,3
61,2,4,3,5,3,2,4,3,2,4,3,4,4,4,2,2
62,1,2,2,3,3,1,2,2,1,2,2,4,4,4,4,4
63,4,4,4,5,3,4,4,4,4,4,4,4,5,1,5,4
64,3,3,3,4,4,3,3,3,3,3,3,5,5,4,5,4
65,5,3,1,4,5,5,3,1,5,3,1,5,5,4,3,3
66,3,3,5,4,5,3,3,5,3,3,5,4,2,4,3,1
67,5,3,5,2,4,5,3,5,5,3,5,4,2,5,3,5
68,4,4,5,1,2,4,4,5,4,4,5,4,3,5,3,5
69,4,5,4,4,4,4,5,4,4,5,4,3,3,5,5,3
70,4,5,3,4,5,4,5,3,4,5,3,3,3,5,5,3
71,2,4,3,4,5,2,4,3,2,4,3,5,3,5,5,3
72,1,2,2,3,3,1,2,2,1,2,2,5,3,4,3,3
73,4,4,4,5,3,4,4,4,4,4,4,4,4,3,3,3
74,3,4,4,3,3,3,4,4,3,4,4,4,4,3,5,3
75,3,2,3,5,3,3,2,3,3,2,3,5,4,2,3,3
76,3,3,4,3,4,3,3,4,3,3,4,2,4,4,5,3
77,5,3,3,3,1,5,3,3,5,3,3,2,4,3,4,4
78,3,3,4,4,2,3,3,4,3,3,4,5,4,1,4,5
79,5,3,4,4,2,5,3,4,5,3,4,5,5,5,4,5
80,5,3,4,5,2,3,4,3,5,5,4,4,4,2,4,4
81,5,3,4,4,2,3,2,4,1,5,4,5,5,3,4,5
82,3,3,3,4,2,1,1,3,3,4,3,4,2,3,4,5
83,3,3,3,3,2,3,1,4,3,4,3,4,2,3,3,3
84,5,3,1,5,2,5,1,4,3,4,3,4,2,5,5,3
85,3,3,5,1,2,3,1,2,3,4,3,4,2,5,3,3
86,5,3,5,5,2,5,4,4,5,4,4,5,3,5,5,3
87,4,4,5,5,2,3,4,4,5,5,4,4,4,4,4,4
88,4,5,4,4,3,2,2,2,1,5,4,5,5,4,4,5
89,4,5,3,4,3,4,5,3,4,5,3,4,4,5,4,4
90,2,4,3,4,2,2,4,3,2,4,3,4,4,5,5,4
91,1,2,2,4,3,1,2,2,1,2,2,2,2,1,5,4
92,4,4,4,4,5,4,4,4,4,4,4,5,3,4,5,3
93,4,5,4,5,2,3,4,3,5,5,4,4,3,2,4,3
94,4,5,4,4,2,3,2,4,1,5,4,2,2,1,2,2
95,3,3,3,4,2,1,1,3,3,4,3,4,4,4,4,4
96,5,3,1,3,2,3,1,4,3,4,3,4,3,5,5,4
97,3,3,5,5,2,5,1,4,3,4,3,4,2,5,5,3
98,5,3,5,1,2,3,1,2,3,4,3,4,2,5,3,3
99,,5,4,5,2,5,4,4,5,4,4,5,3,5,5,3
100,,5,3,5,2,3,4,4,5,5,4,4,4,4,4,4
101,,4,3,4,3,2,2,2,1,5,4,5,5,4,4,5
102,,2,2,1,2,2,4,3,3,3,3,4,4,5,4,4
103,,4,4,4,4,4,4,3,1,5,3,4,4,5,5,4
104,,3,3,5,2,3,4,3,5,5,4,2,2,1,5,4
105,,3,1,4,2,3,2,4,1,5,4,5,3,4,5,3
106,,3,5,4,2,1,1,3,3,4,3,4,3,2,4,3
107,,3,5,3,2,3,1,4,3,4,3,2,2,1,2,2
108,,4,5,5,2,5,1,4,3,4,3,4,4,4,4,4
109,,5,4,1,2,3,1,2,3,4,3,4,3,5,5,4
110,,5,3,5,2,5,4,4,5,4,4,5,3,5,5,3
111,,4,3,5,2,3,4,4,5,5,4,4,4,4,4,4
112,,2,2,4,3,2,2,2,1,5,4,4,4,5,4,4
113,,4,4,4,4,4,4,2,3,3,2,4,4,5,5,4
114,,4,4,3,4,4,4,3,4,3,3,2,2,1,5,4
115,,2,3,3,2,3,5,3,3,5,3,5,3,4,5,3
116,,3,4,3,3,4,2,3,4,3,3,4,3,2,4,3
117,,3,3,5,3,3,2,3,4,5,3,2,2,1,2,2
118,,3,4,3,3,4,5,4,4,4,4,4,4,4,4,4
119,,3,4,5,3,4,5,5,4,3,5,4,3,5,5,4
120,,,,,,,,,,,,,,,,
